title,text,rating
Do yourself a favor and save some money.,"Because paying 20-40 dollars at Walmart (depending on type) for the same thing makes sense right If you are like me and have 3 kids that all have annoying gizmos and electronic crap that takes batteries it is hard to beat Amazon's bulk batteries.These seem to have the same general capacity of a standard Energizer. I have not tested these with my joule thief to see how long they can last. But I'd say on par with the others.This may sound dorky-- when batteries are this cheap, you will find yourself putting them back into toys, remotes, electronics that you had previously marked as not necessary to be powered.",5
Love this tablet,Bought this tablet for 7 and 2 year old and they are very easy to use. Very durable as they have been dropped a numerous amount of times. No scratches or anything and has many apps.,5
Not looking too good...,I bought this as a Christmas gift for my wife and things started out well but lately my wife has been having issues with it. It hasn't been working as it should and its only been a little over 2 months since she's had it. I'm going to try a hard reset on it and see if that helps.,3
not bad,"Good for little kids, it runs a little slow though",3
Die very quickly,"Hi ordered these thinking they were a great price, but sadly they die very quickly.",1
"Paid For 20, Got 18",There were 2 batteries missing from the pack. Just annoying enough to write a bad review. Not annoying enough to do anything else about it...,1
... these batteries fail in a short time on items like wireless thermometers,I find these batteries fail in a short time on items like wireless thermometers and wall clocks. On an average changing is required within a month. I would not purchase these again.,1
Great for the price.,Plenty of power for your average household ham and egger.,5
surprising,"Bought 2 for each of my children ( 10 & 15) and they love them. I was a little worried about them adapting to a new operating system, no problems there. The sound and playback images are just fine. They take them everywhere, not like leaving their other tablets at home, I'm thinking about buying me one. Very kid durable",5
Shortest battery life ever experienced,"Shortest battery life I have ever experienced, using a Microsoft BlueTooth mouse that I have had for years, and have never experienced a shorter time between changing batteries than with these Amazon batteries! Duracell even Energizer or Maxell are far superior given my long decades of experience. Bah Humbug to Amazon on this one.",1
These don't last very long...,"...not even in a mouse, where I've already had to replace the batteries in less than three months, where premium brand batteries last the best part of a year or more.I thought these would be a bargain given the price. But the life is so short there is no benefit or savings. I won't buy these again.",3
Amazon came through,"good price, worked fine",5
An OK tablet,"This tablet is OK, sometimes it's kind of slow. Loads for a while before opening app. Storage has been good. 32 GB. I gave my son the freedom to download any game he wanted on prime time. And after 2 months he still has like 3gb left of space. Not recommend for kids over 10 years old. My son is 4 and sometimes he gets mad because tablet gets slow. Still good deal for 32gb, 1 year primetime for $80",3
or pretty much anywhere you don't want battery acid leaked onto,Do not leave these batteries sitting on a dresser... or pretty much anywhere you don't want battery acid leaked onto. We took the batteries out of our remote at night and woke up to our brand new 3500 dresser ruined. Awesome.,1
Battery Deterioration,Some of the unused batteries stored in AC room show signs of deterioration within six months of purchase. Poor battery performance,1
Waste Of Money,"These batteries are ok, i've already had to replace them in my wireless keyboard, which had previously lasted 6 months on el cheapos from harbor freight.",3
Very disappointed!,"When I opened the package there were only 17 batteries, not the 20 that I ordered and paid dor.",1
I will never purchase this item again. It is in my opinion overpriced junk.,I will never purchase this item again. It is in my opinion overpriced junk.,1
They work!,"I don't know much about batteries, but these work....so I love them!",5
Shortest battery life ever experienced,"Shortest battery life I have ever experienced, using a Microsoft BlueTooth mouse that I have had for years, and have never experienced a shorter time between changing batteries than with these Amazon batteries! Duracell even Energizer or Maxell are far superior given my long decades of experience. Bah Humbug to Amazon on this one.",1
Decent game so far,I did read about the game prior to buying it but so far the game is only half decent. Too much of the same thing.,3
One Star,More than half did not work,1
Meh,"Great price but they don't hold their charge for long. I find myself swapping out the remote batteries twice a year. At this price, it's not so bad but it's much more frequently that I'm used to.",1
Outstanding,Owned a kindle fire HDX for GameCircle years. Finally decided Goodreads upgrade. This fire HD 8 is great. Really Prime the larger screen and new features.,5
Die in about a week,"I have no idea why these batteries are reviewed so well. I used them in a small LED keyboard light for my computer, and I had to change them weekly. Sure you get more batteries for less money, but in total I think you'd be better off buying a quality brand.",1
Five Stars,Why spend more when you can have the same quaility,5
nice in a price,the amount i paid for the tablet is worth it on sale.,3
Good product but hard to setup for Grandson,"This looked easy, but hard to setup if no experience with other than Apple products",3
Discharges Very Fast,Spend a few more dollars and get a branded one. These discharge very fast. Had to keep changing my wall clock battery every 2 months when I had these. Got an energizer battery and that stayed for more than a year. Didn't expect amazon product to be of such poor quality.,1
AmazonBasics AAA Performance Alkaline Batteries are AAA Performance Alkaline Batteries. WOW!,These AmazonBasics AAA Performance Alkaline Batteries are actually AmazonBasics AAA Performance Alkaline Batteries and work as such. Unbelievable.,5
Great tablet!,I really like the feel and ease of use. It's a great tablet for the price.,5
Not cool Amazon.,These batteries leaked into my mouse and killed it. Not cool Amazon.,1
Purchased as a gift,Works very well for light tablet use and great for reading.,5
Good quality,Can't beat 'em for the price.,5
Good but....,Maybe a great value but many in the pack are DOA.,3
Five Stars,great value for the price!,5
Good AAA bateries,I like the amazon batteries and they have different sizes and quantities to order. I'm satisfied with the length of time they last and the price is OK also.,5
Just a Bit Too Short,These batteries are just a tiny bit too short to work in every AAA device. Beware.,3
Great Product,So far I am extremely satisfied with my purchase. Great product for a great price!,5
Chronic issue with charging port,"The reviews on this on Amazon seemed awesome. Little did I know that there is a chronic problem with the port on these tablets. We just bought this for Christmas and went to charge it for the first time. Nothing. We already loaded (and paid for) several apps, and now we're out that money. Also the charging cord that came with it appears it has been used before - there's some wear at the edge of it. So I went online to see if I could find this issue and there it is - everywhere. This is a problem that has been around for years, but Android - who is the ultimate culprit, has failed to fix it at the source. When you plug in the charger, there's no 'click' so you know it's in place. It just slides in and out. We've had Apple products for several years and never had an issue, then the first Droid product we purchase can't even be charged from the beginning. This will be going back to BestBuy - and will buy another iPad Mini - costs more, but is much much more reliable.",1
Christmas gifts,I’ve used one on multiple occasions. They seem to user friendly so I bought 3 of them for Christmas gifts for my nieces and son.,3
Ok,The Freetime so far isn't very intuitive and it looks like you have to be on the deivce. No web interface for it.,3
Five Stars,"Really good deal, the batteries are high quality too.",5
Die in about a week,"I have no idea why these batteries are reviewed so well. I used them in a small LED keyboard light for my computer, and I had to change them weekly. Sure you get more batteries for less money, but in total I think you'd be better off buying a quality brand.",1
Great updated Kindle,"I've had my other Kindle Fire for 5-6 years. It's still working but slowing down. I bought the updated version while it was on sale. I love it! I play games on it, download books, check my email and facebook. It's like a portable mini computer and I wouldn't be without it. I like it better than other people's tablets and you can't beat the price. I bought some for gifts and everybody loves it! I'd recommend it to people of all ages.",5
Nice,"Love these batteries, would buy again!",5
Great beginner tablet.,"I am not very tech savvy. But, in no time I was using my new Fire tablet. It is, very basic, but, I mostly use it for e-mail, facebook and browsing the internet. Good buy for the money.",5
Five Stars,Long lasting great buy,5
"Decent tablet, HORRIBLE warranty","Tablet works as expected, Apple warranty is a joke. Read the fine print, they don't cover most problems with the tablet. Learned this the hard way",3
Good stuff,"Lots of batteries, cheap price. Work great.",5
Short lived in Firestick remote. Wondering if I have a bad batch of AAAs.,In Firestick remote it lasts about a week before replacement is required. Digging deeper alkaline batteries only last as long as they retain the upper percentage of their voltage. Either I have a bad batch or these degrade quickly in remotes. I plan on asking Amazon why this basic is so short lived in peak voltage retention.,1
Okay but good for the price.,The batteries are a good price but I am not sure how charged they are. They seem to run out faster than other batteries that I have used.,3
One Star,Don't waste your money. They last about 2 days in a wii remote.,1
Love my Fire 8 Tablet!,I held off getting a tablet and wish I had done it sooner. The Amazon Fire 8 is great and easy to use,5
Three Stars,doesn't last very long,3
It's ok,I own an echo and the tap. The tap is slower to respond. If you haven't used the echo then you will like the tap.,3
Wish it had more,I do like the Fire Tablet - but I feel that if it is going to have a camera it should have been a better camera. The internet works but I find it takes a while to load. I have read a book on it but - I prefer to use my original paper white - that can be read in any lighting including outside. But for what it is and the price it was - its a good product.,3
The definitive Kindle.,"'ve owned the Kindle Keyboard, 2nd generation Paperwhite and now the Oasis. I love the Oasis very much. The ergonomic design is wonderful and makes it a breeze to hold. It is so light -- that is the biggest killer feature of the Oasis. The 10 LEDs look fantastic and I love the return of page buttons. I've never had one where the screen is flush with the bezel so this is great. All in all, this is easily the best Kindle ever made and even though it's a bit spendy, it will be the one future Kindles are measured against.",5
Great little online browser for the price,I bought these as a starter online browser. It is a very portable pad . Great price.,5
One Star,Inconsistent. VERY short life.,1
Awesome batteries for the price,"Love love these batteries, great value",5
Gret device,"This is a great device, and free's up my phone. Great for internet, games, radio, etc.",5
Terrible,Returned it. it was a poor reader and clearly would not last..,1
kindle kids fire,it was great for reading but the lag time for loading videos was a little bit longer than an iPad,3
One Star,Just what I needed - thank you,1
Good as the Name Brand,nothing but good luck with the Amazon Basics Alkalines.,5
Don't Buy,"Don't Buy! I thought it was a great deal initially, but these batteries are drained SUPER QUICKLY. I have one in my wireless Logitech mouse and I have had to replace the battery 4 times since November, that is 5 batteries in 2 months that is ridiculous! I have started buying the Duracell ProCell Batteries, I am having much better results.",1
Amazon Fire 7 Tablet,Too bad Amazon turned this tablet into a big advertising tool. Many apps dont work and the camera is not good.,1
Tablet not for kids,Great case ok tablet no Android play store. Weak micro usb port. It's isn't an straight out the box tablet. Had to install Android play store on it. And as far as the charging port goes I'm on my 3rd one but best buy are the best with their return policy...,3
Great Door Prize,Gave it as a door prize at office party. They love it.,5
Perfect gift for any age!,My 3 year old has one and my 10 year old wanted one so now they BOTH have one. The parental controls are easy to use and work great. I would highly recommend to anyone!,5
"Good hardware, bad software","The built quality is great taking into considerarions its price. The tablet is pretty fast and responsive. However, Amazon's operating system is horrible. I miss a lot of apps that I use in my Apple devices, and some others that just don't work as good such as Mint and Netflix (don't have download capability). Also it won't work with my Chromecast devices...",3
C...R....A...P!!!,I can only think of one way to describe this item...JUNK!!!,1
"OK, good price",They work,3
Awesome tablet,This tablet is for my daughter and she absolutely loves it!,5
You might just get what you pay for...,"The price and packaging on these batteries is wonderful, but the use-life is not. A pair of these, fresh out of the box, did not last 30 days in my Bluetooth mouse. I have gotten better results with rechargeables, and that is saying something.",3
A mediocre tablet,"Great value for the money. However, the operating system is a bit clunky. Constant notifications and messages to delete. Some can be turned off, other seem to just keep appearing. The reader app surprisingly is less than intuitive.",3
Batteries popped and got acid all over.,2 out of the 8 batteries popped while on the charger. I got battery acid all over my hands trying to get them out and cleaned up.,1
Costco's are better,Do not last as long as costco/kirkland equivalents.,3
One Star,do not last long at all - never by these again,1
Not sold on these yet.,Totally not convinced these are as good as name brands because I have had to replace several batteries way too soon.,3
Slow! Don't waste you money!,"I bought 2 of the Amazon Fire tablets because the sales guy said that they were great and ran really fast. I have very fast internet and this thing just barely chugs along. If you play a game, it constantly stalls and freezes. The sound quality when I play music is terrible. I was planning on buying one for each of my 9 nieces and nephews if they ran well but now I know that wouldn't work for them because they are horrible.",1
Hard to set up,I gave this as a gift for Christmas and still can't get it set up will have to go to geek squad to help,3
Grandkids first tablet.,"The kids never put them down, Plenty of apps to keep them interested. Parental locks keep them safe.",5
Good price,Great price. Too soon to tell if it is a great value.,3
One Star,Batteries must be old don't work!,1
Three Stars,Good competition for the big boys.,3
I Won't Reorder,"I see that these batteries have lots of positive reviews. My experience has been poor. I put a pair in the sensor for an outdoor thermometer. They lasted about 2 weeks and when tested, showed very low power. Replaced them with a second pair. They lasted and tested about the same. These may work better in indoor uses, but they seem to not like the cold. I've had way better success with rechargeable.",1
Three Stars,Don't last very long.,3
Great & Easy to Use.,"I bought two of these, one for my son and the other for nephew, they love it. I downloaded kidsmode on it and all their educational games they can play besides regular Games.",5
Great for the kids... no Google Play Store,"These are great tablets for the kids and the price is wonderful with the warranty and the soft, yet bulky (a good thing in this instance) case. The only thing I wish, was that it could access the Google Play Store so my kids could watch the movies we have in our Google Play Movies account.",3
Garbage,"Shame on Amazon for putting their trusted name on this garbage! Nothing I put these batteries work properly whether AA, AAA, C or D, not the blood pressure cup won't fill with air before going into Error, motion lights that flicker when these are put in, remotes that work on and off - which all goes away with name brand batteries!",1
Five Stars,no complaints,5
BUYERS BEWARE- high ratings not what it seems.,"From experience, the worst batteries I've ever purchased. Not sure if these were manufactured second hand but more than half of the pack died within ONE USE. As a new mom who depends on the quality and longevity of a good battery for her child's needs, I will never order this product ever again.",1
Beware! These leak!,"Sorry to say these batteries leaked in a lighted mirror and ruined it. C'mon, Amazon!",1
Three Stars,Brand names are better. These were not very long lasting. You get what you pay for.,3
OK for general uses..,"I am a die hard Duracell and Energizer user for many years.. Truth is, these are good for normal use items, such as a tv remote, or other items that aren't on a constant drain. However, for long term uses on a day to day I still will stick with Duracell, but these are OK.",3
Great tablet for a child/early teenager,"We have always been Nexus Tablet desciples, and in fact have bought 6-8 of them for self and family members. This one was for granddaughter to replace Nexus that had gotten slow.This one works better/faster than the Nexus! It's fast....easy to use; perfect tablet for a child or teenager...and can't beat the price!Very pleased with purchase....",5
Good Cheap Tablet,"Was looking around for a good cheap tablet and this was the best one I could find especially because Best Buy was having a sale so with the Fire, a case, a stylus and a MicroSD card I only spent a little over a $100. I've been using it just about every day since I got it in December and I've not had any problems with it at all",5
Easy setup,My 4yr old was able to operate it flawlessly. The included case works its magic to keep the tablet from any accidental screen cracks.,3
The lighting is great,I really enjoy reading and on my iPad was hurting my eyes. This Kindle really works great.,5
Short Battery Life!,"Lasted for barely any time at all. I have no idea why some batteries last longer than others but I can attest that these were stored in the exact same condition in our home as another brand of battery and the Amazon ones lasted for far less than half the life of the namebrands. I'm always willing to give Amazon products a try, but these batteries left a lot to be desired.",1
I needed batteries for my kittens toys. The first ...,"I needed batteries for my kittens toys. The first three I used lasted only 5 hours!! I am so unhappy, I spent 8 which is a lot of money for me.",1
... 3 of them and one of the item is bad quality. Is missing backup spring so I have ...,I order 3 of them and one of the item is bad quality. Is missing backup spring so I have to put a pcs of aluminum to make the battery work.,3
The future is amazing!,Powers what I want. The future is amazing!,5
Good for its money.,Personally I'd say buy the newer 6 inch fire. But you do get more for your money getting the older one.,3
Five Stars,arrived on time just as described,5
Bad batteries with very short life!,These are bad batteries with very short life. I returned my first order assuming that I got a bad batch (despite the expiration date years away). Started using the replacement order in late May and already have to replace the batteries.I love Amazon Basics products and Amazon service but this product is a big dud. This is the first negative review I've ever written about a product on Amazon.,1
Stay away,Worst product ever. Constantly screwing up and filled with ads you have to pay to remove. Best Buy refused to help when I wanted to return it,1
Three Stars,Batteries don't last very long,3
nice in a price,the amount i paid for the tablet is worth it on sale.,3
Five Stars,Have had no trouble.,5
Great tablet for the price.,"A viable substitute for the more expensive I Pad especially for kids wanting a tablet. You can download books, games, email and access the internet. Parental controls are easily enabled.",5
Really disappointed in how long they last,These last about 5 hrs in a roku remote using the headphones. Really disappointed in how long they last.,1
Better than before,"This is the second Fire tablet that I have purchased. The first I returned in after I was not able to load YouTube onto the tablet. Amazon's take on Android was just to unfriendly to make it work. With this new tablet, Amazon has heard my concern and now I'm enjoying this tablet. It's well built for a sub-$100 device, but won't stand up to a lot of abuse.",3
Life short,"Yes life short, that's right",3
Easy to use,its very easy to set up and use. love to take it with me . screen its large enough to read easy on it,5
Five Stars,Better than name brands,5
Five Stars,Best batteries for best price!,5
great tablet,Great tablet for the kids and adults great features like the rubber case and free features for kids,5
Total junk,Junk - after trying 10 batteries one worked!,1
Not bad,"I bought this for my 2-year old. She liked it for the first few days and then she went back to playing with my ipad. If I hadn't already introduce her to the ipad, I think she would have been fine with this.",3
Best gift for the wife ever.,My wife's old kindle stopped holding a charge. So to surprise her I stopped by my local best buy and picked up this kindle. This kindle is great. Its has a display that rivals my samsung tablet pro and has a long battery life. My wife uses it every day. This is great for any book worm or if your looking for a tablet on a budget.,5
Kindle fire hd,"My daughter loves this kindle, she does so much with it,well worth the money.",5
Not really statisfied with features,Dont have option for password ask you before buying apps once you authorized as allow its done.Not as many free good apps Like apple have it,1
No power,Batteries died after a week. Same appliance used Duracell batteries for half a year.,1
Super short life.,"We bought these batteries to use in a medical Holter Monitor. Typically we put batteries in for 24 or 48 hour monitors. After one use, we need to replace the batteries. These batteries did not even last the 24 hours. Patients wasted their time and the testing was wasted. It was embarrassing to make the patient reschedule their test due to our equipment failure. These cost our business money. Will never buy again.",1
wonderful,"I was worried that my son wasnt going to like the software, but he's having lots of fun with it",5
Great batteries,"Great batteries, nice to have and good price.",5
Three Stars,"these are not comparable to Duracell, but it's cheap",3
... as long in some devices as other brands but good for the cost,Doesn't seem to last as long in some devices as other brands but good for the cost.,3
bang for the buck,for 33 dollars its a great option. although it was a black friday special its perfect for kids especially considering the amount of damage it can handle!,3
Good batteries for toddler toys!,"These batteries work great but they don't last as long as name brand batteries but that's ok. We mostly bought them for my toddler's toys and they work well enough for that!-As a wife and as a mom of 3 kids, I spend a lot of time shopping for deals on the best products out there for my family. It's important to me that if we're spending our hard earned money that we get a top notch product in return. I often rely on the reviews and opinions of others when contemplating purchasing a new product that I haven't tried before myself. Because of that, any products that I buy (whether on Amazon or from a 3rd party) I always make sure to leave a detailed review of the product to help others when selecting items to purchase, as well. My family tests these products fully before forming a solid opinion and writing a review. When I write a review, I keep in mind that those reading are also looking for honesty about the product and want an unbiased opinion to go by. If my review has been helpful to you, please give me a Yes vote on my review. Thank you!",3
I thought that batteries would be a good first try since there really can't be much difference ...,"This is the first Amazon product I've purchased. I thought that batteries would be a good first try since there really can't be much difference between alkaline batteries.I am a working musician teacher. I sing with a band and use a Shure Wireless Beta 58 mic. A normal set of alkaline batteries last about 7-8 hours in my mic. The first gig I used these with was about 3 1/2 hours with the mic on and by the end of the gig the light on the mic showing battery was showing that the battery was about to die. I was just lucky that it lasted long enough for the entire gig. Usually I can get two full gigs out of an alkaline battery. Just as a comparison, I usually buy the cheapest boxes of batteries at Lowe's. Those batteries are only slightly more expensive than the Amazon Basics and last twice as long in my mic.I can't say how these batteries work in other things, but I can say that for what I use them for they are a big waste of money. I would rather use batteries that cost 15-20 more and last twice as long.",1
love it works great,"battery seems to die fast, but that is my only complaint.",5
Not so good!,I had to return this product as it was not compatible with things such as Facebook and Itunes... which is what I needed it for. Great if you are into books and streaming movies!,1
Kids love it,"Purchased for my daughters to use, and they love it, user. Interface is easy to use, love the fact that I can select what is available to them.",5
They sure are batteries...,"They're batteries and they come charged and ready to go, there is not much of a review you can write about batteries. They power my daughter's choo choo train set, so I'm content.",5
Great tablet,This tablet is great and easy to use. Very convenient and handy to have around,5
"Amazon - Fire HD8 - 8"" - Tablet - 16GB - Wi-Fi - T","A rating of 3 starts is what I can give this product. The Fire HD8 show a nice picture and is used mostly to watch NetFlix. However, the Fire HD8 will restart when the battery indicators is at 35%. I am not sure what is causing the issue or why.",3
Good price,Not tested so I'm not sure of quality,3
Great tablet,This tablet is great. I loved the color and all the features it has. I will be buying more for my daughters. Great purchase,5
Great battery,"Amazon Basics has a quality battery supply, not just in A4A size. These batteries lasted as long as I would expect the Costco brand and Duracells I also have in my possession to last.I love Amazon Basic for quality and cost-savings on a variety of products!!I just ordered the 12-pack of Amazon Basic RECHARGEABLE AAA ones tonight since the disposables stood their ground as a great battery!!!",5
Five Stars,Performed as expected and at a good price.,5
So far so good. The batteries are working great,So far so good. The batteries are working great. I do like how they are packaged in groups of 4 inside a box. It keeps them in order once you remove a bundle or two.,5
Total waste of money,Hardly last as long as a stick match. Total waste of money.,1
Three Stars,Seems like it doesn't last as long as other battery brands.,3
Nice portable speaker,Nice portable speaker but wish the sound quality was better.,3
Rarely gives a good answer,It works about 50% of the time when asking it a question.,3
Still up in the air,"Resolution was great, speed was good. Bought for grandson, he didn't like it because it would not run Google apps and couldn't watch u-tube without purchasing additional apps.",3
The tablet I bought was a 3th birthday gift..,Gave it to my granddaughter and she loves it..I want to buy one for myself....,1
Three Stars,Haven't use the batteries at this time and expect 5 star performance.,3
EXCELLENT,"Ok so when i got this tablet i was not expecting to much from it but now that i have used it...its AMAZING. PROS.their is no lag at all when play high graphic games, pretty easy to use, very fast speedCONS. in my opinion their is only 2 things that drive me insane the screen feels like plastic very uncomfortable and the camera is not the best but it is good for everyday life photos.OVERALL GET THIS TABLET BETTER Deal then the galaxy tab s2",5
"Good but there are cheaper, high quality batteries available","I have not had them long but they seem to be doing the job that is required. I will check back in later to discuss battery life if I remember. I will say, that I could have found batteries a bit cheaper around town and on the internet so I probably will not buy these again for this reason.",3
Works well but too tied to Amazon.,"The tablet works fine. It is responsive with good resolution. It is too tied to Amazon. It requires too many hoops to get apps such as Zinio to work. Until Amazon loosens its grip, I recommend only at a very good price.",3
Three Stars,It's a battery...,3
They were better before they were performance batteries,"This is my second time purchasing these Amazon AA batteries, the first purchase the batteries were great. I'm currently using them in LED lights for decoration and the first set I purchased would last burning 8 hours per day for a couple of weeks, however these new performance batteries noticeably dim after 3 or 4 days of burning.",3
Disappointed,I I thought the buy For my child bc the kids mode but it was very poor,1
Fair,The layout of the tablet is good. Internet is terrible.,3
Dead batteries,None of these batteries had a full charge. My charge detector never reached the green zone. They were one half used up. This was true for the other two sizes D and AAA.,1
One Star,The package was open and missing two batteries.,1
Five Stars,Cheap and fine.,5
"A great deal, and the batteries have a good life ...","A great deal, and the batteries have a good life to them. I will buy again when I start running low.",5
Internet connection shotty,I enjoy all the features on the Fire 7 tablet!!!!!,3
Not meet needs,Not able to play youtube that's what my daughter likes.,1
Great tablet for speed,I didn't do any in depth research on this particular tablet. The price and speed were good for what I wanted it for. My only con is not being able to clear the home screen of apps or relocate them so I can see my personal home screen picture.,3
Three Stars,They don't last long.,3
Awful lifespan,"I've been using these on my roku remote and the lifespan is terrible. About two weeks, when Duracell's have been 1-2 months",1
Good buy,these batteries work just fine and reasonably priced,5
they worked fine - I think these just don't last and are ...,"I almost reviewed these right when I got them, which was around October 6, 2015. It is now November 9th - just put 12 of these in four separate Hallmark Christmas figurines that each operate on three AAA batteries. Two stopped working within an hour and when I put new batteries in them, they worked fine - I think these just don't last and are not the best batteries. Just fyi. I am going to order some separate AAA batteries as I don't think these are great quality.",3
These batteries last about 25 of a stander energizer! ...,These batteries last about 25 of a stander energizer! Dont be suckered in by the price..... WOULD NOT BUY AGAIN!,1
So So performance,Good price for batteries except it seems like they don't last near as long as name brand,3
Bad experience with these batteries,Wrong item.,1
One Star,More then half did not work :(,1
Awesome,"Great for kids, bought both colors for two of my kids.",5
Perfect no. of compartments,"Pros- Feels Light weight even when stuffed fully. Perfect no. of compartments.Cons - Poor zipper quality, side ouch for water container is small.",3
I’ve read more this week than ever before,"I bought my Kindle because I heard it was good for reading in direct sunlight. I’ve got a bay window I like to read at and other tablets I’ve read on produce a lot of glare. This has zero glare and I can’t wait to take it camping this Spring/Summer/Fall. A side note, this is way lighter than any book (as you may have guessed). I like to read on my back and having this has drastically increased the amount of time I can read for.",5
Did not work properly.,It would not turn on or charge. We have to return it to Kindle.,1
Waste of money,These batteries DO NOT last. They are a waste of money.,1
Very good value and price,Very good value and price! I could get batteries at the store for maybe 10pk or 20pk for 16.99-32.99 I rather buy all my batteries here!!!,5
Great for my daughter,My daughter who is two loves it. She colors and dose puzzles,5
Good but SLOW,"A good starter tablet, but very very slow. Don't expect and I Pad savy child to enjoy this. But for a true beginner it would be fine.",3
5 stars!!!,"AmazonBasics AA batteries save me a lot of time and money going to the store and buying them pack by pack, it is very cost efficient to but these for my budget friendly family of 5.I love that this is a big pack of batteries, 20 in all making the price drop down to about .38 cents a battery. I use these in everyday things from remotes, to flash lights. They work just as good as the more expensive batteries saving me lots of cash.I turn to the AmazonBasics brand when it comes to all of my office needs. I can't complain about any of their products I bought so far. Now it's time to buy a big pack of AAA batteries from AmazonBasics. I highly recommend these batteries to anyone out there looking to buy a great quality pack of batteries. These are great for products that have a highly running life like babies products or toys. They defiantly can keep up with my family without wasting ton of money.",5
Bought two of these.,Bought two of these for my grandson and grand daughter and they love them. I like the parental controls and the apps.,5
Very satisfied,Great deal. Very satisfied with value and performance. Seem to last as long as anything else.,5
Good price,"Serves the purpose for which it was bought, ; I.e. Facebook",3
THESE batteries are the worst! The last two days to a week,There is no place to contact seller THESE batteries are the worst ! The last two days to a week. I would like a refund!,1
Awesome!,Boom-Shacka-Lacka-Lacka! Great price!,5
No power.. no charge,"I like amazon products. But these haven't worked in any thing I've put them in. Nerf gun, toys.. nothing. Maybe they work in remotes.....",1
not at all powerful,These batteries did not even last a day with some LED lights we used. I do not recommend these to anyone. Go with a good brand name.,1
Voice command only would be nice.,"Much better than the echo dot. However, the fact that you have to touch the button to activate it instead of just talking to it is a bit annoying. Speaker is fairly powerful for its size.",3
Three Stars,They last less than your average alkaline batteries.,3
Three Stars,They have a short shelf life,3
You get what you pay for,"These are okay. They aren't as long-lasting as name brands so in the end, I'm probably not saving money using these. That said, I like how they are packaged so they take up little space and we only have to open a 4 pack each time while still having plenty on hand. This beats the big packages of the name brands where the left over batteries end up falling out of the package and scatter in the drawer.",3
Five Stars,Great quality batteries. Highly recommended and will continue to buy. Really good price too!,5
Fair Batteries,"These are fair batteries. They are fine for most toys, etc. but they don't seem to last as long as Duracell or Energizer batteries. And I've found some of the packs to be hit or miss. I've had a few packs with several of the batteries already nearly drained straight out of the package.",3
Five Stars,very good itemfast shipmenthigh quality,5
Beware: Exploding Batteries!!,"I just went to use these for the first time... and they exploded in the remote I put them in! Literally, a loud pop and a black liquid was leaking out into my remote and all over my hands. Needless to say, it scared me to death!",1
Great for kids,Awesome tablet. I was amazed how fast it is. And the software is very user friendly,5
Fantastic Value,"This little tablet was purchased during a moment of weakness. I really wanted a Kindle reader. But this has exceeded my needs for a fraction of the price. I can read and listen to books PLUS a ton of other things (including browse on wifi). The ""offers"" show as lock screens and notifications and can be ignored or dismissed easily and make the device price of under $50 (during a promo) very reasonable! Speed is decent, storage upgradable with MicroSD, and feels like a book in a folio-style case. PERFECT! Note: I have other higher-end productivity tablet devices, also. This WILL NOT replace them or do all they can do. Entertainment, internet browsing and leisure is what this was purchased for and I'm pleased.",5
Great tablet,"My son is fascinated with this tablet, and iam too.",5
Great for kids,Only good for kids and games. Battery life is good.,3
Stick with name brands,"Bought AmazonBasics for all the new toys my kids were getting for Christmas, all of which have had to be replaced in the past couple months. Life of this battery isn't great.",3
Three Stars,Inexpensive but doesn't last long.,3
An average Fire tablet,"Though I have got it for cheap price during black friday, this Fire is not that great. Very bad camera and dim screen resolution. Pros:Install Google Play without any hassleVery good book reading option",3
Work just like any other high end batteries I have purchased in ...,"Work just like any other high end batteries I have purchased in the past but at a great price. Will buy more of these in the future, for sure!",5
Not what I was expecting.,I was hoping to find something universal to as a tablet but you get what you pay for.,3
Could be better,Not really the greatest,3
Three Stars,I have not fully tested these AA batteries so I don't have them evaluated.,3
OK,"Love the price but for me,they just don't seem to last as long as my other brand.",3
Three Stars,Don't last as long as Duracells.,3
A disappointment...,Sorry to say I've been disappointed with these. They didn't last as long in my remotes and RC transmitters as even other store brand alkaline batteries.,3
I purchased the AA batteries for my Nest smoke detectors ...,"I purchased the AA batteries for my Nest smoke detectors. The batteries that came with the Nest lasted for a couple of years, so I expected similar performance from the Amazon AA's. In less than 2 months after my purchase, the Nest indicated that they had to be replaced again. This product is not to Amazon's expected standards. I will give it a miss.",1
Horrible,So slow returning mine for something different any suggestions,1
Reliable product,"This was a nice purchase for my son 8yr old, it performs well",3
The batteries had very short life,"The batteries had very short life. Long time fan of Amazon.com, first time buyer of Amazon brand batteries. Replaced batteries in a digital clock. After about 3 months (I bought the batteries in August, and now it's November), the batteries were dead. I have had this clock for years and never had any brand of batteries that lasted so short.",1
Second purchase of an amazon battery product and just as ...,Second purchase of an amazon battery product and just as disappointing as the first. Batteries don't last very long and they quickly leak battery acid. Installed for less than 1 year and already leaking in two separate devices stored in different conditions. Will never buy amazon batteries again. Definitely not worth the few dollars saved.,1
No battery life,"Batteries do not last! Don't waste your money on these. I've been using them in a weight scale where 4 batteries would last 4-6 months. With these batteries, I only get 10 days of usage. No battery life.",1
